stock,Onay,Hisse Adı,Sektör,id,Halka Arz Tarihi,İlk İşlem Tarihi
A1CAP,Katılım Endeksine Uygun Değildir,A1 Capital,Aracı Kurumlar,155430255,2023-06-09,
A1YEN,Katılım Endeksine Uygun Değildir,Kartal Yenilenebili Enerji,Elektrik Üretim,125137951,2021-07-12,
ACSEL,Katılım Endeksine Uygundur,Acıselsan Acıpayam Selüloz,Kimyasal Ürün,64308569,,2012-07-06
ADEL,Katılım Endeksine Uygun Değildir,Adel Kalemcilik,Kırtasiye,9938297,1996-06-06,1996-06-17
ADESE,Katılım Endeksine Uygun Değildir,Adese AVM,GYO,64308327,2011-10-27,
ADGYO,Katılım Endeksine Uygun Değildir,Adra GYO,GYO,159194897,2023-09-15,2023-09-20
AEFES,Katılım Endeksine Uygun Değildir,Anadolu Efes,Meşrubat / İçecek,6491715,2000-07-24,2000-07-28
AFYON,Katılım Endeksine Uygun Değildir,Afyon Çimento,Çimento,64303175,1991-03-27,1991-03-27
AGESA,Katılım Endeksine Uygun Değildir,Agesa Hayat ve Emeklilik,Sigorta,20708156,2014-11-07,
AGHOL,Katılım Endeksine Uygun Değildir,Anadolu Grubu Holding,Holdingler,6495604,2000-02-10,2000-02-17
AGROT,Katılım Endeksine Uygun Değildir,Agrotech Yüksek Teknoloji,Diğer,161917074,2023-11-23,
AGYO,Katılım Endeksine Uygun Değildir,Atakule GYO,GYO,64303958,2002-02-07,2002-02-14
AHGAZ,Katılım Endeksine Uygun Değildir,Ahlatçı Doğalgaz,Elektrik - Doğalgaz Dağıtım,148115454,2022-12-16,2022-12-22
AHSGY,Katılım Endeksine Uygundur,Ahes GYO,GYO,174538064,,2024-08-29
AKBNK,Katılım Endeksine Uygun Değildir,Akbank,Bankacılık,6492714,1990-07-26,1990-07-26
AKCNS,Katılım Endeksine Uygun Değildir,Akçansa,Çimento,6494499,1996-10-01,1996-09-30
AKENR,Katılım Endeksine Uygun Değildir,Akenerji,Elektrik Üretim,6495165,2000-06-28,
AKFGY,Katılım Endeksine Uygun Değildir,Akfen GYO,GYO,64308214,2011-05-06,2011-05-11
AKFIS,Katılım Endeksine Uygun Değildir,Akfen İnşaat,İnşaat- Taahhüt,181275343,2025-01-23,
AKFYE,Katılım Endeksine Uygundur,Akfen Yenilenebilir Enerji,Elektrik Üretim,151680380,2023-03-10,2023-03-16
AKGRT,Katılım Endeksine Uygun Değildir,Aksigorta,Sigorta,6491712,1994-11-23,1994-11-23
AKMGY,Katılım Endeksine Uygun Değildir,Akmerkez GYO,GYO,64304822,2005-04-15,2005-04-15
AKSA,Katılım Endeksine Uygundur,Aksa,Endüstriyel Tekstil,6495178,1986-09-22,1986-01-13
AKSEN,Katılım Endeksine Uygun Değildir,Aksa Enerji,Elektrik Üretim,6914251,2010-05-14,2010-05-21
AKSGY,Katılım Endeksine Uygun Değildir,Akis GYO,GYO,64310108,,2013-01-09
AKSUE,Katılım Endeksine Uygun Değildir,Aksu Enerji,Elektrik Üretim,64303676,1999-12-23,
AKYHO,Katılım Endeksine Uygundur,Akdeniz Yatırım Holding,Holdingler,120969718,,2012-07-03
ALARK,Katılım Endeksine Uygun Değildir,Alarko Holding,Holdingler,6495318,1974-01-01,1974-01-01
ALBRK,Katılım Endeksine Uygundur,Albaraka Türk,Bankacılık,6499760,2007-06-22,
ALCAR,Katılım Endeksine Uygun Değildir,Alarko Carrier,Dayanıklı Tüketim,64302944,1992-01-27,1992-01-27
ALCTL,Katılım Endeksine Uygundur,Alcatel Teletaş,İletişim Cihazları,6500508,1988-03-22,
ALFAS,Katılım Endeksine Uygun Değildir,Alfa Solar,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,146653452,2022-11-11,2022-11-16
ALGYO,Katılım Endeksine Uygun Değildir,Alarko GYO,GYO,6494281,1996-12-19,1996-12-13
ALKA,Katılım Endeksine Uygundur,Alkim Kağıt,Kağıt Ürünleri,9938466,2000-10-26,
ALKIM,Katılım Endeksine Uygundur,Alkim,Kimyasal Ürün,6491713,2000-02-24,2000-03-02
ALKLC,Katılım Endeksine Uygundur,Altınkılıç Gıda,Gıda,170587779,,2024-06-04
ALTNY,Katılım Endeksine Uygundur,Altınay Savunma,Savunma,169916930,,2024-05-16
ALVES,Katılım Endeksine Uygundur,Alves Kablo,Kablo,166086387,,2024-02-29
ANELE,Katılım Endeksine Uygun Değildir,Anel Elektrik,İnşaat Malzemeleri,8384442,2010-06-11,2010-06-16
ANGEN,Katılım Endeksine Uygundur,Anatolia Biyoteknoloji,Sağlık ve İlaç,128249958,2021-10-15,
ANHYT,Katılım Endeksine Uygun Değildir,Anadolu Hayat Emeklilik A.Ş.,Sigorta,6495356,2000-02-11,2000-02-24
ANSGR,Katılım Endeksine Uygun Değildir,Anadolu Sigorta,Sigorta,6494282,1993-10-11,1993-10-25
ARASE,Katılım Endeksine Uygundur,Doğu Aras Enerji,Elektrik - Doğalgaz Dağıtım,129330227,2021-11-11,2021-11-11
ARCLK,Katılım Endeksine Uygun Değildir,Arçelik,Dayanıklı Tüketim,6494481,1986-01-21,1986-01-21
ARDYZ,Katılım Endeksine Uygundur,ARD Grup Bilişim,Teknoloji,120976300,2020-01-30,2020-02-06
ARENA,Katılım Endeksine Uygun Değildir,Arena Bilgisayar,Bilgisayar Toptancılığı,64303859,2000-10-26,2000-11-02
ARMGD,Katılım Endeksine Uygun Değildir,Armada Gıda,Gıda,19475876,2025-01-03,
ARSAN,Katılım Endeksine Uygun Değildir,Arsan Tekstil,Tekstil Entegre,9938461,1998-06-25,1998-06-25
ARTMS,Katılım Endeksine Uygun Değildir,Artemis Halı,Tekstil Entegre,166446328,2024-03-04,
ARZUM,Katılım Endeksine Uygun Değildir,Arzum Ev Aletleri,Dayanıklı Tüketim,120976822,2020-12-18,
ASELS,Katılım Endeksine Uygundur,Aselsan,Savunma,6500522,1990-08-01,1990-06-01
ASGYO,Katılım Endeksine Uygun Değildir,Asce GYO,GYO,157758987,2023-08-03,2023-08-03
ASTOR,Katılım Endeksine Uygun Değildir,Astor Enerji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,148814695,2023-01-13,2023-01-17
ASUZU,Katılım Endeksine Uygun Değildir,Anadolu Isuzu,Otomotiv,64303286,1997-04-03,1997-04-10
ATAGY,Katılım Endeksine Uygun Değildir,Ata GYO,GYO,64304011,1997-10-01,1997-10-09
ATAKP,Katılım Endeksine Uygundur,Atakey Patates,Gıda,157133365,2023-07-21,
ATATP,Katılım Endeksine Uygundur,ATP Bilgisayar,Teknoloji,124598717,2021-05-28,2021-06-04
ATEKS,Katılım Endeksine Uygun Değildir,Akın Tekstil,Tekstil Entegre,64303179,1996-04-18,1996-05-02
ATLAS,Katılım Endeksine Uygun Değildir,Atlas YO,Yatırım Ortaklıkları,64304013,1994-01-25,1994-02-28
ATSYH,Katılım Endeksine Uygun Değildir,Atlantis YO,Holdingler,64304010,1995-05-15,
AVGYO,Katılım Endeksine Uygun Değildir,Avrasya YO,GYO,64303678,,1996-07-08
AVHOL,Katılım Endeksine Uygun Değildir,Avrupa Yatırım Holding,Holdingler,64308662,2012-12-04,2012-11-30
AVOD,Katılım Endeksine Uygun Değildir,Avod Kurutulmuş Gıda,Gıda,9938707,2011-11-30,2011-12-06
AVPGY,Katılım Endeksine Uygundur,Avrupakent GYO,GYO,163020262,,2023-12-21
AVTUR,Katılım Endeksine Uygun Değildir,Avrasya Petrol&Turistik Tesis,Turizm,64306238,,2007-05-04
AYCES,Katılım Endeksine Uygun Değildir,Altınyunus Çesme,Turizm,64303225,1987-08-28,1987-08-28
AYDEM,Katılım Endeksine Uygun Değildir,Aydem Enerji,Elektrik Üretim,122419124,2021-04-22,
AYEN,Katılım Endeksine Uygundur,Ayen Enerji,Elektrik Üretim,64302999,2000-06-28,2000-07-05
AYES,Katılım Endeksine Uygun Değildir,Ayes Çelik Hasır & Çit,İnşaat Malzemeleri,120969730,2012-07-12,
