stock,id,ipoDate,firstTradeDate
ACSEL,64308569,,2012-07-06
AHSGY,174538064,,2024-08-29
AKFYE,151680380,2023-03-10,2023-03-16
AKSA,6495178,1986-09-22,1986-01-13
AKYHO,120969718,,2012-07-03
ALBRK,6499760,2007-06-22,
ALCTL,6500508,1988-03-22,
ALKA,9938466,2000-10-26,
ALKIM,6491713,2000-02-24,2000-03-02
ALKLC,170587779,,2024-06-04
ALTNY,169916930,,2024-05-16
ALVES,166086387,,2024-02-29
ANGEN,128249958,2021-10-15,
ARASE,129330227,2021-11-11,2021-11-11
ARDYZ,120976300,2020-01-30,2020-02-06
ASELS,6500522,1990-08-01,1990-06-01
ATAKP,157133365,2023-07-21,
ATATP,124598717,2021-05-28,2021-06-04
AVPGY,163020262,,2023-12-21
AYEN,64302999,2000-06-28,2000-07-05
BAHKM,173932632,,2024-08-07
BAKAB,64303289,1998-06-11,1998-06-05
BANVT,6494523,1992-11-27,1992-11-27
BASGZ,124598715,2021-06-04,2021-06-11
BEGYO,162598862,,2023-12-08
BERA,64308645,,2012-11-23
BIENY,154507906,2023-05-12,2023-05-18
BIMAS,6497856,2005-07-08,2005-07-15
BINBN,176430138,,2024-10-09
BINHO,161917073,2023-11-20,2023-11-20
BMSTL,137106481,2022-04-27,2022-04-25
BNTAS,120972581,2015-05-18,2015-05-18
BORSK,165482104,,2024-02-15
BOSSA,64303318,1995-08-10,1995-08-21
BRISA,6493646,1986-01-07,1986-01-07
BRKSN,64308066,2011-02-01,2011-02-04
BRLSM,126415365,2021-08-13,2021-08-20
BSOKE,64303313,2000-04-26,2000-04-26
BURCE,64303679,1992-08-10,1992-08-18
BURVA,64304826,2004-05-06,2004-05-13
CANTE,122419126,2021-04-22,
CATES,162435209,2023-12-01,
CELHA,35018550,1986-01-03,1986-01-10
CEMTS,64303320,1994-12-26,
CEMZY,174842244,2024-09-09,
CIMSA,6491717,1986-01-09,1986-01-03
CMBTN,64303322,1997-12-11,
COSMO,64304004,,1995-01-01
CVKMD,153331230,2023-04-07,
CWENE,153593933,,2023-05-05
DAPGM,133292593,2022-02-24,2022-02-24
DARDL,64303681,1994-07-28,1995-06-30
DCTTR,173202802,,2024-07-31
DENGE,64308539,2012-07-26,2012-08-02
DESPC,64308018,2010-11-26,2010-12-08
DGATE,9938546,2006-02-02,2006-02-10
DGNMO,9938357,1990-08-01,
DMSAS,64303683,,1997-07-24
DOFER,160250594,,2023-10-16
DOFRB,195106107,2025-09-05,
DOGUB,64303684,1987-07-03,
DYOBY,64303690,1987-08-12,1987-08-12
EBEBK,158664611,2023-09-06,2023-09-07
EDATA,124598723,2021-06-29,
EDIP,64303329,1991-01-18,1990-12-10
EFORC,171749416,2024-07-05,
EGEPO,64303331,2021-08-26,
EGGUB,6500532,1986-01-06,1986-01-06
EGPRO,64303331,1993-11-15,
EKGYO,8401142,2010-11-24,2010-12-02
EKSUN,152054127,2023-03-17,
ELITE,129457840,2021-11-09,
ENJSA,42859344,2018-02-02,2018-02-08
EREGL,6491721,1986-01-13,1986-01-13
ESCOM,64304001,,2000-07-20
EUPWR,153340563,2023-04-20,
EYGYO,148418634,,2022-12-29
FADE,120976584,2020-07-30,2020-08-06
FONET,120974003,2017-05-04,2017-05-04
FORMT,120974845,,2018-05-22
FORTE,155430253,2023-06-14,2023-06-14
FZLGY,157133366,2023-07-21,
GEDZA,120970695,,2014-01-21
GENIL,126415361,2021-07-30,
GENTS,64303356,1990-02-02,1990-02-02
GEREL,64304490,2003-05-05,2003-05-11
GESAN,126415364,2021-08-13,
GLRMK,180793686,,2025-01-17
GOKNR,150549852,2023-03-03,
GOLTS,64303357,1995-02-23,1995-03-06
GOODY,64302938,1986-01-15,1986-01-15
GRSEL,134161491,2022-03-09,2022-03-09
GRTHO,153593932,,2023-03-26
GUBRF,6496111,1986-01-06,1986-01-03
GUNDG,174322255,,2024-08-22
HATSN,159194898,2023-09-22,2023-09-22
HKTM,142487918,2022-08-12,
HOROZ,170935600,,2024-06-07
HRKET,170231800,,2024-05-23
IDGYO,64307863,2010-06-24,2010-07-01
IHEVA,64303692,1996-09-26,1996-09-26
IHLAS,64303693,1994-12-07,
IHLGM,64303208,1989-12-01,
IHYAY,64307974,2010-10-26,2010-11-05
IMASM,136829377,2022-04-29,
INTEM,64303052,1990-03-16,1990-03-16
ISDMR,47006627,,2016-03-28
ISSEN,111960910,2021-11-12,2021-11-18
IZFAS,64309176,,2014-07-04
IZINV,64308985,,2013-11-12
JANTS,64308731,,2012-08-28
KARSN,64303075,2000-02-15,2000-02-21
KATMR,9938633,2010-11-05,2010-11-11
KBORU,162798610,,2023-12-14
KCAER,139769753,2022-06-30,
KIMMR,127280634,2021-09-17,2021-09-22
KLSYN,133985182,2022-03-04,2022-03-04
KNFRT,64303696,1996-05-29,1996-06-10
KOCMT,169787511,2024-05-17,
KONKA,129457843,2021-11-26,2021-11-26
KONTR,120976679,2020-10-13,2020-10-19
KONYA,64303367,1990-10-26,1990-10-26
KOPOL,153331231,2023-04-07,
KOTON,169323827,,2024-05-10
KRDMA,120961703,1998-06-01,1998-06-08
KRDMB,120961704,1998-06-01,1998-06-08
KRDMD,6496115,1998-06-01,1998-06-08
KRGYO,64309123,2014-05-06,2014-05-06
KRONT,64308168,2011-05-18,
KRPLS,141334092,2022-07-28,2022-07-28
KRSTL,64303697,1997-08-07,1997-08-26
KRVGD,120976792,2020-11-27,2020-12-04
KTLEV,155430254,2023-06-07,2023-06-12
KUTPO,64303368,1990-09-19,1990-09-20
KUYAS,64309713,,2012-09-13
KZBGY,126415363,2021-08-12,
LKMNH,9938637,2011-01-26,
LMKDC,165753075,,2024-02-22
