stock,id,ipoDate,firstTradeDate
A1CAP,155430255,2023-06-09,
A1YEN,125137951,2021-07-12,
ADEL,9938297,1996-06-06,1996-06-17
ADESE,64308327,2011-10-27,
ADGYO,159194897,2023-09-15,2023-09-20
AEFES,6491715,2000-07-24,2000-07-28
AFYON,64303175,1991-03-27,1991-03-27
AGESA,20708156,2014-11-07,
AGHOL,6495604,2000-02-10,2000-02-17
AGROT,161917074,2023-11-23,
AGYO,64303958,2002-02-07,2002-02-14
AHGAZ,148115454,2022-12-16,2022-12-22
AKBNK,6492714,1990-07-26,1990-07-26
AKCNS,6494499,1996-10-01,1996-09-30
AKENR,6495165,2000-06-28,
AKFGY,64308214,2011-05-06,2011-05-11
AKFIS,181275343,2025-01-23,
AKGRT,6491712,1994-11-23,1994-11-23
AKMGY,64304822,2005-04-15,2005-04-15
AKSEN,6914251,2010-05-14,2010-05-21
AKSGY,64310108,,2013-01-09
AKSUE,64303676,1999-12-23,
ALARK,6495318,1974-01-01,1974-01-01
ALCAR,64302944,1992-01-27,1992-01-27
ALFAS,146653452,2022-11-11,2022-11-16
ALGYO,6494281,1996-12-19,1996-12-13
ANELE,8384442,2010-06-11,2010-06-16
ANHYT,6495356,2000-02-11,2000-02-24
ANSGR,6494282,1993-10-11,1993-10-25
ARCLK,6494481,1986-01-21,1986-01-21
ARENA,64303859,2000-10-26,2000-11-02
ARMGD,19475876,2025-01-03,
ARSAN,9938461,1998-06-25,1998-06-25
ARTMS,166446328,2024-03-04,
ARZUM,120976822,2020-12-18,
ASGYO,157758987,2023-08-03,2023-08-03
ASTOR,148814695,2023-01-13,2023-01-17
ASUZU,64303286,1997-04-03,1997-04-10
ATAGY,64304011,1997-10-01,1997-10-09
ATEKS,64303179,1996-04-18,1996-05-02
ATLAS,64304013,1994-01-25,1994-02-28
ATSYH,64304010,1995-05-15,
AVGYO,64303678,,1996-07-08
AVHOL,64308662,2012-12-04,2012-11-30
AVOD,9938707,2011-11-30,2011-12-06
AVTUR,64306238,,2007-05-04
AYCES,64303225,1987-08-28,1987-08-28
AYDEM,122419124,2021-04-22,
AYES,120969730,2012-07-12,
AYGAZ,6491716,1988-01-13,1988-01-13
AZTEK,142541634,2022-08-17,2022-08-17
BAGFS,6495634,1986-01-28,1986-01-03
BALAT,120969755,,2012-08-13
BALSU,182801093,2025-02-25,
BARMA,142293781,2022-08-10,2022-08-10
BASCM,120969745,2012-07-01,
