symbol,name,last,high,low,volume,daily_change,weekly_change,monthly_change,annual_change
AEFES,ANADOLU EFES,"18,62","18,83","18,37","905,290,464.00","0,98","-3,52","10,97","18,52"
AGHOL,ANADOLU GRUBU HOLDING,"30,38","30,86","30,22","131,960,512.94","1,20","-1,49","10,80","5,85"
AKBNK,AKBANK,"77,90","81,10","77,50","9,390,321,238.05","0,65","-0,64","18,03","15,18"
AKSA,AKSA,"10,30","10,41","10,26","198,341,612.97","0,10","0,00","0,23","10,55"
AKSEN,AKSA ENERJI,"83,15","83,75","82,05","446,410,220.50","0,24","2,28","7,85","14,69"
ALARK,ALARKO HOLDING,"93,35","94,60","92,75","408,042,857.05","0,38","-0,64","5,60","-8,48"
ALTNY,ALTINAY SAVUNMA,"15,84","16,55","15,81","670,921,709.23","-1,37","4,07","10,69","8,12"
ANSGR,ANADOLU SIGORTA,"27,76","28,04","27,24","217,018,009.08","1,83","2,81","7,24","26,01"
ARCLK,ARCELIK,"117,10","121,00","116,70","257,877,397.20","-1,76","-0,17","7,83","15,94"
ASELS,ASELSAN,"412,50","425,25","408,50","12,456,358,040.50","-0,66","3,51","28,81","78,03"
ASTOR,ASTOR ENERJI,"202,70","207,30","200,20","6,482,325,079.50","1,76","-1,84","3,95","73,40"
BALSU,BALSU GIDA,"14,84","14,95","14,33","99,872,855.24","3,20","-0,07","4,51","-14,17"
BIMAS,BIM MAGAZALAR,"746,00","763,50","745,00","2,784,843,954.00","0,27","-0,67","9,22","39,05"
BRSAN,BORUSAN BORU SANAYI,"577,50","580,50","532,00","1,724,177,460.00","9,38","6,26","11,81","4,05"
BRYAT,BORUSAN YAT. PAZ.,"2208,00","2228,00","2112,00","474,980,240.00","5,65","2,79","13,60","8,54"
BSOKE,BATISOKE CIMENTO,"35,42","35,96","35,12","146,891,561.94","0,45","-0,23","9,32","117,30"
BTCIM,BATI CIMENTO,"6,86","7,00","6,73","489,713,953.03","2,39","4,26","15,29","80,05"
CANTE,CAN2 TERMIK,"1,63","1,66","1,62","367,923,365.04","0,00","-2,40","-0,61","-3,09"
CCOLA,COCA COLA ICECEK,"75,25","77,10","74,95","181,247,582.90","0,67","2,38","6,81","27,98"
CIMSA,CIMSA,"53,05","54,60","52,80","252,681,785.85","-0,38","-0,56","10,61","15,85"
CVKMD,CVK MADEN,"35,86","36,38","35,68","513,601,109.34","-0,11","-0,66","14,35","35,53"
CWENE,CW ENERJI,"33,90","34,36","33,50","949,684,722.26","0,41","2,98","15,46","20,90"
DAPGM,DAP GAYRIMENKUL,"10,94","11,51","10,90","513,378,846.89","-3,78","-6,09","-24,03","-7,76"
DOAS,DOGUS OTOMOTIV,"189,40","193,60","189,10","292,862,811.00","-0,84","0,16","5,97","8,68"
DOHOL,DOGAN HOLDING,"21,62","22,02","21,62","153,962,950.12","0,65","2,56","8,26","27,55"
DSTKF,DESTEK FINANS FAKTORING,"2100,00","2122,00","2057,00","729,098,143.00","1,11","0,14","11,58","278,38"
ECILC,ECZACIBASI ILAC,"100,30","109,20","100,20","895,268,049.30","-8,15","-9,15","-4,29","22,62"
EFOR,EFOR YATIRIM,"6,12","6,12","5,59","795,418,768.95","9,87","14,61","-36,58","-74,71"
EKGYO,EMLAK KONUT GMYO,"21,02","21,52","20,94","1,484,026,168.58","0,10","-2,41","9,42","2,84"
ENERY,ENERYA ENERJI,"8,92","9,08","8,75","200,767,903.92","2,88","-0,22","0,22","-6,99"
ENJSA,ENERJISA ENERJI,"122,60","125,00","119,50","625,274,691.10","3,20","2,58","11,63","41,46"
ENKAI,ENKA INSAAT,"104,70","108,00","101,50","1,548,891,560.20","4,39","2,45","14,62","37,26"
EREGL,EREGLI DEMIR CELIK,"31,70","32,44","31,20","6,088,534,801.92","-0,94","1,28","12,33","33,08"
EUPWR,EUROPOWER ENERJI,"43,86","45,46","43,56","410,356,317.26","-2,19","-1,13","6,61","33,72"
EUREN,EUROPEN ENDUSTRI,"5,32","5,71","5,32","1,364,794,816.26","-2,56","7,04","19,02","-16,09"
FENER,FENERBAHCE FUTBOL,"3,04","3,13","2,97","912,432,923.28","0,33","10,14","17,37","-11,11"
FROTO,FORD OTOSAN,"104,70","107,40","104,10","1,876,868,424.70","-0,19","-0,57","3,56","16,88"
GARAN,GARANTI BANKASI,"138,80","144,20","138,00","4,815,590,961.30","0,07","-1,14","14,16","0,63"
GENIL,GEN ILAC,"10,41","10,64","10,37","140,553,253.07","-0,86","0,87","-2,71","-21,53"
GESAN,GIRISIM ELEKTRIK SANAYI,"50,20","51,75","50,00","174,502,695.70","-1,86","-0,20","9,37","8,19"
GLRMK,GULERMAK AGIR SANAYI,"226,60","238,70","225,80","2,857,149,403.40","-2,33","-5,78","24,71","29,49"
GRSEL,GUR-SEL TURIZM TASIMACILIK,"316,50","318,75","312,25","104,867,720.00","1,61","-0,55","2,26","-1,09"
GRTHO,GRAINTURK HOLDING,"263,00","287,00","255,50","728,005,275.25","-6,65","-4,71","16,37","-8,52"
GSRAY,GALATASARAY SPORTIF,"1,10","1,11","1,09","287,130,660.06","0,92","-2,65","4,76","-5,17"
GUBRF,GUBRE FABRIK.,"488,50","490,00","481,25","963,996,736.25","1,14","0,41","3,22","40,37"
HALKB,T. HALK BANKASI,"39,36","41,00","39,20","1,724,534,325.80","-1,25","-1,60","12,07","7,01"
HEKTS,HEKTAS,"3,08","3,13","3,05","420,777,594.25","-0,32","0,98","7,69","0,65"
ISCTR,IS BANKASI (C),"14,40","15,12","14,35","9,706,267,153.15","-1,44","-2,11","14,01","6,56"
ISMEN,IS Y. MEN. DEG.,"43,96","44,78","43,82","292,811,270.08","0,78","1,90","9,92","19,74"
IZENR,IZDEMIR ENERJI,"9,87","9,96","9,70","580,364,582.29","1,75","2,92","4,89","5,11"
KCHOL,KOC HOLDING,"207,00","209,00","206,00","3,829,320,568.70","1,42","1,47","6,26","27,22"
