Hisseler,Unnamed: 1,Son,Değişim Yüzde,Hacim (TL),Saat,stock
A1CAP A1 CAPITAL YATIRIM,,970,374,"176.197.185,81",15:51,A1CAP
A1YEN A1 YENILENEBILIR ENERJI,,3222,216,"67.235.838,26",15:51,A1YEN
ADEL ADEL KALEMCILIK,,3464,99,"62.128.748,00",15:51,ADEL
ADGYO ADRA GMYO,,5915,77,"49.575.253,20",15:51,ADGYO
AEFES ANADOLU EFES,,1559,0,"745.894.724,86",15:51,AEFES
AFYON AFYON CIMENTO,,1398,58,"26.835.016,04",15:51,AFYON
AGESA AGESA HAYAT EMEKLILIK,,17010,-29,"23.481.524,10",15:50,AGESA
AGHOL ANADOLU GRUBU HOLDING,,2834,-125,"174.967.985,68",15:51,AGHOL
AGROT AGROTECH TEKNOLOJI,,823,49,"77.425.423,40",15:51,AGROT
AGYO ATAKULE GMYO,,799,244,"7.918.349,64",15:49,AGYO
AHGAZ AHLATCI DOGALGAZ,,3332,208,"66.022.915,66",15:51,AHGAZ
AKBNK AKBANK,,6805,210,"5.559.669.495,75",15:51,AKBNK
AKENR AKENERJI,,1120,63,"73.551.810,29",15:51,AKENR
AKFGY AKFEN GMYO,,277,36,"72.129.924,91",15:51,AKFGY
AKFIS AKFEN INSAAT,,2380,25,"44.641.933,82",15:51,AKFIS
AKGRT AKSIGORTA,,639,127,"109.028.034,59",15:51,AKGRT
AKMGY AKMERKEZ GMYO,,24690,-439,"20.973.380,15",15:51,AKMGY
AKSGY AKIS GMYO,,726,97,"29.250.630,70",15:51,AKSGY
AKSUE AKSU ENERJI,,1966,-135,"8.474.692,11",15:48,AKSUE
ALARK ALARKO HOLDING,,8580,70,"285.138.692,40",15:51,ALARK
ALCAR ALARKO CARRIER,,"1.046,00",116,"43.129.103,00",15:50,ALCAR
ALFAS ALFA SOLAR ENERJI,,4952,77,"104.504.826,64",15:51,ALFAS
ALGYO ALARKO GMYO,,2196,46,"30.576.738,82",15:51,ALGYO
ALTINS1 DARPHANE ALTIN SERTIFIKASI,,5986,243,"1.332.879.827,41",15:51,ALTINS1
ANELE ANEL ELEKTRIK,,2138,309,"31.973.361,32",15:51,ANELE
ANHYT ANADOLU HAYAT EMEK.,,9185,-60,"94.905.282,30",15:51,ANHYT
ANSGR ANADOLU SIGORTA,,2194,252,"155.817.017,58",15:51,ANSGR
ARCLK ARCELIK,,13550,-73,"406.560.950,80",15:51,ARCLK
ARMGD ARMADA GIDA,,3440,171,"72.148.192,18",15:51,ARMGD
ARSAN ARSAN TEKSTIL,,300,-99,"84.637.762,52",15:51,ARSAN
ARTMS ARTEMIS HALI,,3702,-48,"42.620.920,70",15:51,ARTMS
ARZUM ARZUM EV ALETLERI,,305,0,"80.792.063,40",15:51,ARZUM
ASGYO ASCE GMYO,,1376,51,"64.345.720,90",15:51,ASGYO
ASTOR ASTOR ENERJI,,10820,-146,"2.082.659.189,20",15:51,ASTOR
ATAGY ATA GMYO,,1453,83,"4.935.761,78",15:51,ATAGY
ATATP ATP YAZILIM,,15910,298,"137.280.406,70",15:51,ATATP
ATEKS AKIN TEKSTIL,,8420,0,"467.815,20",13:55,ATEKS
ATLAS ATLAS YAT. ORT.,,672,386,"9.493.032,24",15:51,ATLAS
ATSYH ATLANTIS YATIRIM HOLDING,,6100,903,"4.495.178,60",13:55,ATSYH
AVGYO AVRASYA GMYO,,1414,-153,"4.156.505,88",15:51,AVGYO
AVHOL AVRUPA YATIRIM HOLDING,,4906,212,"108.452.660,06",15:51,AVHOL
AVOD A.V.O.D GIDA VE TARIM,,435,-225,"89.469.943,30",15:51,AVOD
AVTUR AVRASYA PETROL VE TUR.,,1563,39,"7.277.841,42",15:47,AVTUR
AYCES ALTINYUNUS CESME,,48775,104,"17.494.095,25",15:49,AYCES
AYDEM AYDEM ENERJI,,1984,431,"100.126.336,33",15:51,AYDEM
AYES AYES CELIK HASIR VE CIT,,1555,367,"1.380.842,15",13:55,AYES
AYGAZ AYGAZ,,18720,103,"69.032.447,40",15:51,AYGAZ
AZTEK AZTEK TEKNOLOJI,,6030,994,"125.563.495,35",15:51,AZTEK
BAGFS BAGFAS,,3692,16,"56.145.345,98",15:51,BAGFS
BALAT BALATACILAR BALATACILIK,,7455,205,"2.881.670,15",13:55,BALAT
BALSU BALSU GIDA,,2474,164,"142.005.041,84",15:51,BALSU
BARMA BAREM AMBALAJ,,2204,36,"43.952.074,54",15:51,BARMA
BASCM BASTAS BASKENT CIMENTO,,1757,-206,"3.060.141,21",13:55,BASCM
BAYRK BAYRAK TABAN SANAYI,,3654,-323,"148.220.698,02",15:47,BAYRK
BESLR BESLER GIDA,,1454,48,"56.491.486,59",15:51,BESLR
BFREN BOSCH FREN SISTEMLERI,,19560,166,"67.249.745,70",15:51,BFREN
BIGCH BUYUK SEFLER BIGCHEFS,,6010,-291,"244.681.889,25",15:51,BIGCH
BIGEN BIRLESIM GRUP ENERJI,,1203,143,"178.137.122,03",15:51,BIGEN
BIOEN BIOTREND CEVRE VE ENERJI,,2704,37,"52.486.256,76",15:51,BIOEN
BIZIM BIZIM MAGAZALARI,,2808,-14,"20.283.003,24",15:51,BIZIM
BJKAS BESIKTAS FUTBOL YAT.,,221,-221,"236.729.733,27",15:51,BJKAS
BLCYT BILICI YATIRIM,,2282,-26,"26.181.668,86",15:50,BLCYT
BMSCH BMS CELIK HASIR,,1538,253,"29.814.084,79",15:49,BMSCH
BNTAS BANTAS AMBALAJ,,751,81,"27.883.876,80",15:51,BNTAS
BOBET BOGAZICI BETON SANAYI,,2052,-125,"93.936.620,06",15:51,BOBET
BRISA BRISA,,8075,56,"27.788.727,45",15:51,BRISA
